github_id,target_role,total_repos,top_languages,topics
afsar-dev,"Web Frontend (Lv3. 확신 / 156점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 12점)",99,"{'JavaScript': 47, 'HTML': 30, 'TypeScript': 15}","['tanstack-query', 'stripe', 'javascript', 'next-auth', 'redux-toolkit', 'rtk-query', 'bycrypt', 'shadcn-ui', 'remarkjs', 'three-js']"
hwanz,X (추론 안됨),21,{'JavaScript': 1},"['shadowsocks', 'shadowsocksr', 'gfw', 'ssr', 'v2ray']"
GavinRuff007,"Web Backend (Lv2. 강한 의심 / 29점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 6점)",13,"{'Java': 6, 'JavaScript': 3, 'Go': 2}","['redis', 'opentelemetry', 'liquibase', 'redux-toolkit', 'jaeger', 'hexagonal-architecture', 'jpa-hibernate', 'maven', 'springboot', 'graphql']"
kingsleyesisi,"Web Frontend (Lv2. 강한 의심 / 18점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 11.0점)",55,"{'Python': 22, 'HTML': 10, 'JavaScript': 4}","['cybersecurity', 'github-config', 'config', 'cyber', 'python', 'portfolio']"
fun-loving-otter,X (추론 안됨),13,"{'Python': 9, 'HTML': 1, 'SCSS': 1}",[]
tagda-coder,Web Frontend (Lv2. 강한 의심 / 17점),38,"{'CSS': 10, 'JavaScript': 7, 'Python': 7}",[]
rakibul6002,Web Frontend (Lv2. 강한 의심 / 33점),39,"{'JavaScript': 16, 'HTML': 12, 'TypeScript': 3}",[]
ptr1337,Systems/Embedded (Lv1. 의심 / 9점),100,"{'Shell': 31, 'C': 6, 'Dockerfile': 3}","['cpu', 'kernel-patches', 'gcc', 'architectures', 'lllvm', 'pds', 'llvm', 'bolt', 'kernel', 'llvm-bolt-helper']"
sanbuphy,"Web Backend (Lv1. 의심 / 9.5점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 9.5점)",100,"{'Python': 19, 'TypeScript': 2, 'HTML': 2}","['tutorial', 'toolcalling', 'mcp', 'computer-science', 'llm', 'agentic', 'academic', 'assistant', 'agent', 'ai']"
the-pesar,Web Frontend (Lv2. 강한 의심 / 16점),33,"{'Vue': 7, 'Go': 5, 'TypeScript': 5}","['locale', 'documentation', 'multilanguage', 'javascript', 'library-management-system', 'domain', 'whois', 'i18n', 'golang', 'vuejs']"
